epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,617.411,0.87665,1.37144,0.55801,1.02463,0,0.84388,0.8,0.87994,0.58516,0.8328,0.79,0.86035,0.55608,1.17739,2.0173,0.82304,1.21575,0,0.0007328,0.0007328,0.0007328
66,626.226,0.86799,1.35932,0.54152,1.02737,0,0.8911,0.82,0.881,0.6037,0.8911,0.82,0.87352,0.55776,1.16335,1.99764,0.77964,1.17859,0,0.000713,0.000713,0.000713
67,636.338,0.86703,1.32724,0.54947,1.02428,0,0.88804,0.79316,0.87269,0.60889,0.88804,0.79316,0.87015,0.56519,1.14844,1.93646,0.79572,1.17946,0,0.0006932,0.0006932,0.0006932
68,644.818,0.8434,1.34166,0.55648,1.01551,0,0.87744,0.84,0.85943,0.5857,0.88359,0.83496,0.85782,0.54333,1.155,2.01722,0.80956,1.17419,0,0.0006734,0.0006734,0.0006734
69,654.755,0.82643,1.3012,0.54711,0.99553,0,0.8647,0.85,0.88266,0.59994,0.90517,0.81,0.86961,0.55462,1.14261,1.96563,0.73813,1.20925,0,0.0006536,0.0006536,0.0006536
70,664.772,0.82619,1.30999,0.54792,0.99228,0,0.87021,0.84,0.89369,0.60813,0.87021,0.84,0.88004,0.56076,1.13645,1.95384,0.75027,1.20715,0,0.0006338,0.0006338,0.0006338
71,672.717,0.81341,1.28302,0.51658,1.01633,0,0.83954,0.91,0.89263,0.57685,0.8405,0.89586,0.8813,0.56495,1.22436,1.92218,0.7218,1.23945,0,0.000614,0.000614,0.000614
72,682.929,0.82123,1.30559,0.53379,0.99697,0,0.87536,0.85,0.89475,0.60097,0.87536,0.85,0.88679,0.55045,1.15839,1.95837,0.7141,1.22591,0,0.0005942,0.0005942,0.0005942
73,691.848,0.81567,1.2502,0.5195,0.98429,0,0.85717,0.84016,0.88566,0.60952,0.91827,0.78654,0.88204,0.56123,1.15161,2.018,0.74063,1.21064,0,0.0005744,0.0005744,0.0005744
74,700.722,0.83026,1.27201,0.52491,1.01285,0,0.8553,0.85,0.87289,0.60476,0.8553,0.85,0.87233,0.54471,1.14278,2.09121,0.742,1.19819,0,0.0005546,0.0005546,0.0005546
75,710.491,0.80059,1.24869,0.51939,0.98832,0,0.85655,0.85,0.88742,0.60546,0.83443,0.86,0.88765,0.57516,1.15084,2.03355,0.72876,1.19979,0,0.0005348,0.0005348,0.0005348
76,718.349,0.80386,1.24515,0.53136,0.97578,0,0.87045,0.80628,0.86997,0.57388,0.87094,0.80978,0.85484,0.53975,1.21914,2.00364,0.75828,1.24865,0,0.000515,0.000515,0.000515
77,728.107,0.80447,1.25012,0.49038,0.98237,0,0.87064,0.83,0.87893,0.60753,0.83852,0.83087,0.85785,0.55427,1.16998,1.99315,0.7371,1.24853,0,0.0004952,0.0004952,0.0004952
78,737.149,0.80993,1.23438,0.50097,0.99897,0,0.8952,0.78,0.87481,0.59703,0.8829,0.77,0.86298,0.56946,1.15347,1.98403,0.73901,1.22723,0,0.0004754,0.0004754,0.0004754
79,745.575,0.78062,1.21152,0.47767,0.96733,0,0.88658,0.8,0.87067,0.58804,0.8755,0.79,0.85477,0.54403,1.18002,1.95425,0.73231,1.24621,0,0.0004556,0.0004556,0.0004556
80,755.297,0.77861,1.24496,0.49226,0.97796,0,0.86835,0.79152,0.87413,0.61146,0.86835,0.79152,0.8651,0.55563,1.12744,2.03912,0.75321,1.20135,0,0.0004358,0.0004358,0.0004358
81,763.128,0.78208,1.23519,0.48686,0.97365,0,0.86585,0.84,0.8784,0.59672,0.86585,0.84,0.86697,0.55339,1.11335,2.00243,0.72239,1.19472,0,0.000416,0.000416,0.000416
82,772.781,0.75414,1.18746,0.47917,0.97197,0,0.89703,0.82,0.87212,0.59735,0.88571,0.81,0.85221,0.55574,1.12297,1.99859,0.7427,1.19785,0,0.0003962,0.0003962,0.0003962
83,782.56,0.76355,1.19345,0.47648,0.97482,0,0.88966,0.80631,0.88634,0.60777,0.86766,0.78678,0.85726,0.56084,1.1091,2.04299,0.70268,1.18908,0,0.0003764,0.0003764,0.0003764
84,790.423,0.77029,1.22775,0.48203,0.96544,0,0.86578,0.84,0.87694,0.60622,0.85547,0.83,0.86445,0.53575,1.10718,2.05276,0.74077,1.20569,0,0.0003566,0.0003566,0.0003566
85,800.068,0.74685,1.18318,0.46158,0.95037,0,0.86244,0.84,0.86904,0.5871,0.86244,0.84,0.86921,0.55994,1.17117,1.99365,0.7048,1.24546,0,0.0003368,0.0003368,0.0003368
86,808.151,0.78237,1.16687,0.48082,0.97575,0,0.86688,0.84662,0.88359,0.61029,0.85669,0.83691,0.86486,0.55864,1.09107,2.02099,0.73319,1.19694,0,0.000317,0.000317,0.000317
87,817.542,0.76702,1.19123,0.4676,0.97195,0,0.85555,0.82,0.88133,0.59523,0.84466,0.81,0.86082,0.55553,1.14786,2.08678,0.73976,1.21502,0,0.0002972,0.0002972,0.0002972
88,827.376,0.75279,1.192,0.46391,0.95652,0,0.89088,0.82,0.87275,0.61021,0.89088,0.82,0.87221,0.57022,1.12153,2.07019,0.71774,1.21184,0,0.0002774,0.0002774,0.0002774
89,835.175,0.72908,1.18929,0.45747,0.95021,0,0.8871,0.84,0.87853,0.60729,0.8871,0.84,0.87754,0.56368,1.14886,2.06565,0.71061,1.23452,0,0.0002576,0.0002576,0.0002576
90,844.901,0.72718,1.1329,0.44661,0.94375,0,0.88337,0.85,0.86983,0.59978,0.87266,0.84,0.85668,0.54637,1.14355,2.06102,0.74097,1.22821,0,0.0002378,0.0002378,0.0002378
91,856.217,0.74815,1.16219,0.45129,0.95746,0,0.86941,0.83,0.86257,0.60092,0.85848,0.82,0.85309,0.54619,1.12706,2.08348,0.73482,1.22203,0,0.000218,0.000218,0.000218
92,864.069,0.74359,1.17977,0.45205,0.96037,0,0.86538,0.83568,0.86863,0.59704,0.86538,0.83568,0.86785,0.55127,1.13032,2.07819,0.72477,1.23194,0,0.0001982,0.0001982,0.0001982
93,873.876,0.73295,1.1492,0.43798,0.95208,0,0.8905,0.81325,0.87277,0.60735,0.85666,0.81,0.86116,0.55843,1.12423,2.08082,0.72209,1.22234,0,0.0001784,0.0001784,0.0001784
94,882.49,0.72187,1.17244,0.44194,0.94879,0,0.87771,0.82,0.8785,0.60342,0.87771,0.82,0.87066,0.56417,1.12098,2.05613,0.74419,1.21745,0,0.0001586,0.0001586,0.0001586
95,891.445,0.72401,1.13708,0.4412,0.94918,0,0.843,0.85909,0.87529,0.60443,0.84365,0.8,0.84803,0.55559,1.10461,2.03941,0.73643,1.21545,0,0.0001388,0.0001388,0.0001388
96,901.194,0.70812,1.1064,0.43727,0.93082,0,0.84241,0.85,0.87064,0.60973,0.84241,0.85,0.86987,0.55579,1.10124,2.02339,0.74107,1.21868,0,0.000119,0.000119,0.000119
97,909.005,0.72686,1.14226,0.43847,0.95423,0,0.88131,0.8,0.87521,0.60048,0.88131,0.8,0.87378,0.56037,1.13155,2.04087,0.74273,1.22289,0,9.92e-05,9.92e-05,9.92e-05
98,918.906,0.69589,1.15284,0.42333,0.93084,0,0.84156,0.84985,0.87638,0.61,0.83034,0.84,0.86344,0.55304,1.11741,2.07121,0.72222,1.22645,0,7.94e-05,7.94e-05,7.94e-05
99,927.992,0.68749,1.12457,0.42108,0.9394,0,0.83682,0.85,0.87773,0.61177,0.82649,0.84,0.86518,0.5573,1.12983,2.08213,0.71803,1.2339,0,5.96e-05,5.96e-05,5.96e-05
100,936.43,0.68824,1.12919,0.42365,0.92979,0,0.84002,0.84013,0.87977,0.61222,0.8915,0.78,0.86753,0.56066,1.13086,2.07194,0.71416,1.23578,0,3.98e-05,3.98e-05,3.98e-05
